auditId,sourceLine,company,country,investmentFirm,sector,status,ownerCount,milestoneCount,sourceCount,proposedTargetCount,priority,score,flags,malformedDates,exactDuplicates,nearDuplicates,lowValueMilestones,recategoryCandidates,missingEntryOwners,missingExitOwners,sourceCoverage,sourceUrls,reviewerDecision,reviewerNotes
crown-castle-small-cells-solutions__united-states,16891,Crown Castle Small Cells Solutions,United States,EQT Infrastructure,Digital,Active,1,3,4,current 2-5 target,none,0,,,,,,,,,,https://eqtgroup.com/news/eqt-to-acquire-crown-castles-small-cells-solutions-business-2025-03-13 | https://investor.crowncastle.com/news-releases/news-release-details/crown-castle-announces-agreement-sell-fiber-segment-eqt-and-zayo | https://www.crowncastle.com/news/29086-crown-castle-announces-closing-of-sale-of-fiber-and-small-cell-businesses-and-updates-full-year-2026-outlook | https://www.crowncastle.com/strategic-review-results,,
cypress-creek-renewables__united-states,16919,Cypress Creek Renewables,United States,EQT Infrastructure,Power & ET,Active,1,5,5,current 2-5 target,none,0,,,,,,,,,,https://ccrenew.com/ | https://eqtgroup.com/en/about/current-portfolio/cypress-creek | https://ccrenew.com/news/welcome-eqt-to-the-cypress-creek-team/ | https://ccrenew.com/news/cypress-creek-announces-close-of-sale-to-eqt/ | https://www.prnewswire.com/news-releases/cypress-creek-acquires-2-5-gw-solar-project-with-2-9-gwh-energy-storage-in-development-in-arkansas-from-swift-current-energy-302711078.html,,
eagle-railcar-services__united-states,16951,Eagle Railcar Services,United States,EQT Infrastructure,Transportation,Active,1,2,4,current 2-5 target,none,0,,,,,,,,,,https://www.eaglerailcar.com/ | https://eqtgroup.com/en/about/current-portfolio/eagle-railcar-services | https://eqtgroup.com/news/eqt-to-acquire-eagle-railcar-services-from-jm-texas-companies-2025-04-01 | https://www.eaglerailcar.com/locations,,
edgeconnex__united-states,16978,EdgeConneX,United States,EQT Infrastructure,Digital,Active,1,4,6,current 2-5 target,none,0,,,,,,,,,,https://www.edgeconnex.com/ | https://eqtgroup.com/about/current-portfolio/edgeconnex | https://www.edgeconnex.com/news/press-releases/eqt-infrastructure-to-acquire-leading-global-data-center-provider-edgeconnex/ | https://www.edgeconnex.com/news/press-releases/edgeconnex-announces-completion-of-its-acquisition-by-eqt-infrastructure/ | https://www.edgeconnex.com/news/press-releases/edgeconnex-looks-to-enter-swedish-market-as-part-of-european-data-center-expansion-strategy/ | https://eqtgroup.com/news/eqt-introduces-ai-infrastructure-strategy-to-help-build-the-foundation-of-the-ai-economy-2026-04-21,,
first-student__united-states-canada,17009,First Student,United States / Canada,EQT Infrastructure,Transportation,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://firststudentinc.com/ | https://eqtgroup.com/about/current-portfolio/first-student | https://firststudentinc.com/resources/newsroom/eqt-infrastructure-closes-acquisition-of-first-student-and-first-transit/,,
lazer-logistics__united-states-canada,17034,Lazer Logistics,United States / Canada,EQT Infrastructure,Transportation,Active,1,2,3,current 2-5 target,none,0,,,,,,,,,,https://www.lazerlogistics.com/ | https://eqtgroup.com/about/current-portfolio/lazer-logistics | https://eqtgroup.com/news/eqt-value-add-infrastructure-to-acquire-lazer-logistics-a-leading-north-american-provider-of-outsourced-yard-management-and-spotting-services-2023-03-29,,
lumos-fiber__united-states,17061,Lumos Fiber,United States,EQT Infrastructure,Digital,Active,1,3,3,current 2-5 target,medium,25,excessive_other_milestones,,,,,,,,,https://www.lumosfiber.com/ | https://eqtgroup.com/about/current-portfolio/lumos | https://www.lumosfiber.com/blog/2025/04/01/t-mobile-and-eqt-close-joint-venture-to-acquire-lumos-and-expand-fiber-internet-access/,,
madison-energy-infrastructure__united-states,17088,Madison Energy Infrastructure,United States,EQT Infrastructure,Power & ET,Active,1,2,4,current 2-5 target,none,0,,,,,,,,,,https://www.madisonei.com/ | https://eqtgroup.com/about/current-portfolio/madison-energy-infrastructure | https://eqtgroup.com/en/news/eqt-infrastructure-to-acquire-madison-energy-investments-a-leading-integrated-us-solar-distributed-generation-platform-2022-12-20 | https://www.madisonei.com/resource/madison-energy-infrastructure-and-eqt-real-estate-announce-completion-of-maryland-rooftop-solar-project,,
osmose-utilities-services-inc__united-states,17115,"Osmose Utilities Services, Inc.",United States,EQT Infrastructure,Utilities,Active,1,4,3,current 2-5 target,none,0,,,,,,,,,,https://www.osmose.com/ | https://eqtgroup.com/about/current-portfolio/osmose-utilities-services-inc | https://eqtgroup.com/en/news/eqt-acquires-osmose-utilities-services-inc-2019-01-24,,
radius-global-infrastructure__united-states,17144,Radius Global Infrastructure,United States,EQT Infrastructure,Digital,Active,1,2,4,current 2-5 target,none,0,,,,,,,,,,https://www.radiusglobal.com/ | https://eqtgroup.com/about/current-portfolio/radius | https://www.radiusglobal.com/news-releases/news-release-details/radius-global-infrastructure-be-acquired-eqt-active-core/ | https://www.radiusglobal.com/news-releases/news-release-details/eqt-and-psp-complete-acquisition-radius-global-infrastructure/,,
scale-microgrids__united-states,17171,Scale Microgrids,United States,EQT Infrastructure,Power & ET,Active,1,3,5,current 2-5 target,none,0,,,,,,,,,,https://www.scalemicrogrids.com/ | https://eqtgroup.com/en/about/current-portfolio/scale-microgrids | https://eqtgroup.com/news/eqt-to-acquire-distributed-energy-company-scale-microgrids | https://uk.marketscreener.com/quote/stock/EQT-AB-66480635/news/EQT-AB-OM-EQT-completed-the-acquisition-of-Scale-Microgrid-Solutions-LLC-from-Warburg-Pincus-LLC-50157590/ | https://www.datacenterdynamics.com/en/news/eqt-backed-scale-acquires-powered-land-for-data-centers-company-reload/,,
seven-seas-water-group__united-states,17200,Seven Seas Water Group,United States,EQT Infrastructure,Utilities,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://sevenseaswater.com/ | https://eqtgroup.com/about/current-portfolio/seven-seas-water-group | https://eqtgroup.com/en/news/eqt-to-acquire-seven-seas-water-group-a-leading-provider-of-sustainable-water-and-wastewater-solutions-2025-05-22 | https://sevenseaswater.com/news/,,
voltera__united-states,17226,Voltera,United States,EQT Infrastructure,Transportation,Active,1,2,3,current 2-5 target,none,0,,,,,,,,,,https://www.volterapower.com/ | https://eqtgroup.com/en/about/current-portfolio/voltera | https://www.volterapower.com/post/backed-by-eqt-voltera-launches-as-turnkey-ev-charging-infrastructure-solution,,
suburban-eq-rng-llc__united-states,17253,"SUBURBAN EQ RNG, LLC",United States,Equilibrium,Midstream,Active,1,3,4,current 2-5 target,none,0,,,,,,,,,,https://www.suburbanpropane.com/news/suburban-propane-partners-l-p-to-acquire-renewable-natural-gas-rng-production-assets-from-equilibrium-capital-group-and-establishes-partnership-for-the-development-of-additional-rng-projects/ | https://eq-cap.com/suburban-propane-partners-acquires-rng-assets-from-equilibrium-capital-group-and-establishes-partnership-for-future-development/ | https://investor.suburbanpropane.com/2023-05-04-Suburban-Propane-Partners%2C-L-P-Announces-Second-Quarter-Results | https://www.sec.gov/Archives/edgar/data/1005210/000119312525298630/sph-20250927.htm,,
